id,text,author_id,created_at,geo
10893995322,NewBlogPost: Russia is helping Ukraine to maintain amd repair submarine Zaporizya http://tiny.cc/sdwzr,111073483,2010-03-22 22:36:24+00:00,
10891596408,phone calls translation from English to Russia Ukraine- www.callyourgirl.com,55673206,2010-03-22 21:38:09+00:00,
10890965271,RT @Milogh: Ukraine delegation for gas talks in Russia Tuesday: http://bit.ly/9F9Duo,37987061,2010-03-22 21:20:58+00:00,
10890960702,Russian and Ukrainian lessons by native Ukraine and Russia speaker- more www.callyourgirl.com,55673206,2010-03-22 21:20:44+00:00,
10890677797,interpreting by professional translator from English to Ukraine/Russia- more www.callyourgirl.com,55673206,2010-03-22 21:03:06+00:00,
10890166137,China’s Ukrainian Moves: http://bit.ly/dqUVCq via @addthis #China #Ukraine #Russia,86489144,2010-03-22 20:50:16+00:00,
10888531855,personal translator will translate phone calls to Ukraine or Russia -www.callyourgirl.com,55673206,2010-03-22 20:09:03+00:00,
10888365716,Ukraine To Hold Gas Talks With Russia http://url4.eu/1vH67,42342938,2010-03-22 20:04:45+00:00,
10888045025,"Jcis women – hot, sexy, single women from Russia and Ukraine ...: Dating single woman in Kiev, Ukraine: Julia_from... http://bit.ly/bKsTuV",87544775,2010-03-22 19:56:44+00:00,
10888044517,"Jcis women – hot, sexy, single women from Russia and Ukraine ...: Dating single woman in Kiev, Ukraine: Julia_from... http://bit.ly/bKsTuV",90851818,2010-03-22 19:56:43+00:00,
10887821471,I will interpret your ideas/thoughts over the phone to your lady in Ukraine/Russia- callyourgirl.com,55673206,2010-03-22 19:51:03+00:00,
10887488446,I will translate your ideas and thoughts over the phone to your lady in Ukraine/Russia- www.callyourgirl.com,55673206,2010-03-22 19:42:03+00:00,
10887220957,Ukraine delegation for gas talks in Russia Tuesday: http://bit.ly/9F9Duo,33692354,2010-03-22 19:35:09+00:00,
10887138221,I will help you to obtain a fiancé visa for your lady from Ukraine or Russia- www.callyourgirl.com,55673206,2010-03-22 19:33:02+00:00,
10886787712,I will interpret not only your words but your thoughts over the phone to Russia or Ukraine- www.callyourgirl.com,55673206,2010-03-22 19:24:02+00:00,
10886401950,I will interpret your thoughts over the phone to your lady from Ukraine or Russia- www.callyourgirl.com,55673206,2010-03-22 19:14:03+00:00,
10885816456,"Summer courses for applicants from Belarus, Russia and Ukraine http://bit.ly/dyg2ua",64356527,2010-03-22 18:59:00+00:00,
10885701183,I will translate your thoughts while calling to your lady in Ukraine or Russia- www.callyourgirl.com,55673206,2010-03-22 18:56:02+00:00,
10884191631,"#dearfuturehusband at some point we're going to the Ukraine, Russia, and Puerto Rico.",92859323,2010-03-22 18:17:44+00:00,
10883924242,I can assist you in obtaining a fiancé visa for your lady from Ukraine or Russia- callyourgirl.com,55673206,2010-03-22 18:11:04+00:00,
10883560870,"Russia/Ukraine lessons by Ukrainian speaker over skype, experienced- callyourgirl.com",55673206,2010-03-22 18:02:05+00:00,
10883177142,Ukraine to hold gas talks with Russia http://bit.ly/cQWyou,37343638,2010-03-22 17:52:47+00:00,
10882877556,@joejonas JONAS BROTHERS PLEASE COME TO UKRAINE AND RUSSIA!!  answer me or i eat my cat XD,88704048,2010-03-22 17:45:36+00:00,
10882810684,translating your thoughts to your lady over the phone to Russia or Ukraine- callyourgirl.com,55673206,2010-03-22 17:44:04+00:00,
10882802605,"@HeyItsNicoleA http://twitpic.com/1a9wvi - JONAS BROTHERS PLEASE COME TO UKRAINE AND RUSSIA!!  I KIIL MY CATS IF YOU NOT COME XD",88704048,2010-03-22 17:43:52+00:00,
10882729710,@HeyItsNicoleA http://twitpic.com/1a9wvi - JONAS BROTHERS PLEASE COME TO UKRAINE AND RUSSIA!!,88704048,2010-03-22 17:42:10+00:00,
10882709815,@HeyItsNicoleA http://twitpic.com/1a9x4a - JONAS BROTHERS PLEASE COME TO UKRAINE AND RUSSIA!!,88704048,2010-03-22 17:41:40+00:00,
10882620132,Ukraine to hold gas talks with Russia: Ukraine's new president Viktor Yanukovich will try to win lower natural ... http://bit.ly/9tdKwG #fb,111849882,2010-03-22 17:39:34+00:00,
10882442176,Interpreting your thoughts to your lady over the phone to Russia or Ukraine- callyourgirl.com,55673206,2010-03-22 17:35:14+00:00,
10881596902,I interpret your thoughts to your lady in Russia or Ukraine- more-callyourgirl.com,55673206,2010-03-22 17:15:06+00:00,
10881357809,Ukraine to hold gas talks with Russia (at Financial Times) http://wp1132119.vwp2390.webpack.hosteurope.de/financenews/?p=473096,92822752,2010-03-22 17:09:29+00:00,
10881350109,"Ukraine and a Tectonic Shift in Heartland Power, The USA Russia Pipeline Wars: Part I: The Geopolitical significan... http://bit.ly/aVgnUz",28269755,2010-03-22 17:09:18+00:00,
10881147916,"Ukraine's leading English-language newspaper since 1995 (KYIV Post): Relations with Russia, the gas business and t... http://bit.ly/bp6rKS",22980874,2010-03-22 17:04:36+00:00,
10878469396,RT @PlattsGas: Ukraine's new government and its likely impact on gas relations with Russia. New Platts gas spotlig... http://bit.ly/bOs5iO,14542551,2010-03-22 16:03:48+00:00,
10877980148,Ukraine delegation for gas talks in Russia Tuesday: (KIEV) - A delegation headed by Ukraine's new fuel and energy ... http://bit.ly/bFkMef,25566938,2010-03-22 15:52:58+00:00,
10876724610,Ukraine delegation for gas talks in Russia Tuesday http://www.financial24.org/story/1192135/,20343515,2010-03-22 15:24:54+00:00,
10875597666,Ukraine delegation for gas talks in Russia Tuesday - Georgiandaily http://bit.ly/cs41ea,38755317,2010-03-22 15:00:05+00:00,
10874999805,Meeting in Russia with BERG partner was very good. New Horizons is doing great for us in Russia and Ukraine. Website www.newhorizons.ru,100219034,2010-03-22 14:46:35+00:00,
10874308067,phone calls translation from English to Russia Ukraine- www.callyourgirl.com,55673206,2010-03-22 14:31:04+00:00,
10874108494,Russia and Ukraine could agree on the extension of Black Sea Fleet's presence in the Crimea http://is.gd/aSSWj,17074747,2010-03-22 14:26:40+00:00,
10873967960,Ukraine delegation for gas talks in Russia Tuesday: A delegation headed by Ukraine's new fuel and energy minist... http://bit.ly/bRmtos #fb,111849882,2010-03-22 14:23:31+00:00,
10873553462,Russian and Ukrainian lessons by native Ukraine and Russia speaker- more www.callyourgirl.com,55673206,2010-03-22 14:14:05+00:00,
10873157527,interpreting by professional translator from English to Ukraine/Russia- more www.callyourgirl.com,55673206,2010-03-22 14:05:04+00:00,
10872575100,Ukraine's new government and its likely impact on gas relations with Russia. New Platts gas spotlight podcast http://bit.ly/ukr0322,40093078,2010-03-22 13:51:32+00:00,
10871166622,@illonashawty u r happy:) maybe someday I'll have it too.. 'Cuz in Russia MY WORLD is sold. and Ukraine is close to Russia:),91313470,2010-03-22 13:17:18+00:00,
10870841701,personal translator will translate phone calls to Ukraine or Russia -www.callyourgirl.com,55673206,2010-03-22 13:09:03+00:00,
10870784434,"Good morning twitters! A great weekend to all! Hello to friends of Russia, Ukraine, Lebanon, Bahrain, Dubai and Abu Dabhi ...",63997955,2010-03-22 13:07:34+00:00,
10870150796,I will interpret your ideas/thoughts over the phone to your lady in Ukraine/Russia- callyourgirl.com,55673206,2010-03-22 12:51:03+00:00,
10869825366,I will translate your ideas and thoughts over the phone to your lady in Ukraine/Russia- www.callyourgirl.com,55673206,2010-03-22 12:42:03+00:00,
10869594040,Hryshchenko: Ukraine will simultaneously build relations with Russia and Europe - BSANNA NEWS http://bit.ly/d07Tqx,73249770,2010-03-22 12:35:31+00:00,
10869504441,I will help you to obtain a fiancé visa for your lady from Ukraine or Russia- www.callyourgirl.com,55673206,2010-03-22 12:33:02+00:00,
10869191607,I will interpret not only your words but your thoughts over the phone to Russia or Ukraine- www.callyourgirl.com,55673206,2010-03-22 12:24:03+00:00,
10869002355,Russia to help Ukraine maintain sole submarine: http://trunc.it/6jxls,65883736,2010-03-22 12:18:22+00:00,
10868892644,I will interpret your thoughts over the phone to your lady from Ukraine or Russia- www.callyourgirl.com,55673206,2010-03-22 12:15:05+00:00,
10868817201,RT @reutersuk_world    Ukraine to send team to Moscow for gas talks http://link.reuters.com/muv64j || #Ukraine #Russia,50645038,2010-03-22 12:12:48+00:00,
10868295059,I will translate your thoughts while calling to your lady in Ukraine or Russia- www.callyourgirl.com,55673206,2010-03-22 11:57:03+00:00,
10866988575,I can assist you in obtaining a fiancé visa for your lady from Ukraine or Russia- callyourgirl.com,55673206,2010-03-22 11:13:02+00:00,
10866738460,"Russia/Ukraine lessons by Ukrainian speaker over skype, experienced- callyourgirl.com",55673206,2010-03-22 11:04:03+00:00,
10866272351,Ukraine's leading English-language newspaper since 1995 (KYIV Post): Russia's main requirement for reducing the pr... http://bit.ly/aQbOcN,22980874,2010-03-22 10:46:33+00:00,
10866240313,"@jaredleto please, let it be Russia or Ukraine(in August). please!",102755092,2010-03-22 10:45:18+00:00,
10866232789,translating your thoughts to your lady over the phone to Russia or Ukraine- callyourgirl.com,55673206,2010-03-22 10:45:03+00:00,
10866007714,Interpreting your thoughts to your lady over the phone to Russia or Ukraine- callyourgirl.com,55673206,2010-03-22 10:36:02+00:00,
10865717212,"China’s Ukrainian Moves, Kiev is so willing to court Beijing ..... http://bit.ly/cHFlQO .... #Russia #China #Ukraine #EU",25137811,2010-03-22 10:24:26+00:00,
10865561369,I interpret your thoughts to your lady in Russia or Ukraine- more-callyourgirl.com,55673206,2010-03-22 10:18:03+00:00,
10863778419,"Russian media: #US rejected #Yanukovych's offer of #Kyiv, #Ukraine, as good offices for US-#Russia nuke deal on coalition legitimacy grounds",31080136,2010-03-22 09:02:16+00:00,
